Name,Date,Value
DowJones,2019-01-02,23346.24
DowJones,2019-01-03,22686.22
DowJones,2019-01-04,23433.16
DowJones,2019-01-07,23531.35
DowJones,2019-01-08,23787.45
DowJones,2019-01-09,23879.12
DowJones,2019-01-10,24001.92
DowJones,2019-01-11,23995.95
DowJones,2019-01-14,23909.84
DowJones,2019-01-15,24065.59
DowJones,2019-01-16,24207.16
DowJones,2019-01-17,24370.1
DowJones,2019-01-18,24706.35
DowJones,2019-01-22,24404.48
DowJones,2019-01-23,24575.62
DowJones,2019-01-24,24553.24
DowJones,2019-01-25,24737.2
DowJones,2019-01-28,24528.22
DowJones,2019-01-29,24579.96
DowJones,2019-01-30,25014.86
DowJones,2019-01-31,24999.67
DowJones,2019-02-01,25063.89
DowJones,2019-02-04,25239.37
DowJones,2019-02-05,25411.52
DowJones,2019-02-06,25390.3
DowJones,2019-02-07,25169.53
DowJones,2019-02-08,25106.33
DowJones,2019-02-11,25053.11
DowJones,2019-02-12,25425.76
DowJones,2019-02-13,25543.27
DowJones,2019-02-14,25439.39
DowJones,2019-02-15,25883.25
DowJones,2019-02-19,25891.32
DowJones,2019-02-20,25954.44
DowJones,2019-02-21,25850.63
DowJones,2019-02-22,26031.81
DowJones,2019-02-25,26091.95
DowJones,2019-02-26,26057.98
DowJones,2019-02-27,25985.16
DowJones,2019-02-28,25916.0
DowJones,2019-03-01,26026.32
DowJones,2019-03-04,25819.65
DowJones,2019-03-05,25806.63
DowJones,2019-03-06,25673.46
DowJones,2019-03-07,25473.23
DowJones,2019-03-08,25450.24
DowJones,2019-03-11,25650.88
DowJones,2019-03-12,25554.66
DowJones,2019-03-13,25702.89
DowJones,2019-03-14,25709.94
DowJones,2019-03-15,25848.87
DowJones,2019-03-18,25914.1
DowJones,2019-03-19,25887.38
DowJones,2019-03-20,25745.67
DowJones,2019-03-21,25962.51
DowJones,2019-03-22,25502.32
DowJones,2019-03-25,25516.83
DowJones,2019-03-26,25657.73
DowJones,2019-03-27,25625.59
DowJones,2019-03-28,25717.46
DowJones,2019-03-29,25928.68
DowJones,2019-04-01,26258.42
DowJones,2019-04-02,26179.13
DowJones,2019-04-03,26218.13
DowJones,2019-04-04,26384.63
DowJones,2019-04-05,26424.99
DowJones,2019-04-08,26341.02
DowJones,2019-04-09,26150.58
DowJones,2019-04-10,26157.16
DowJones,2019-04-11,26143.05
DowJones,2019-04-12,26412.3
DowJones,2019-04-15,26384.77
DowJones,2019-04-16,26452.66
DowJones,2019-04-17,26449.54
DowJones,2019-04-18,26559.54
DowJones,2019-04-22,26511.05
DowJones,2019-04-23,26656.39
DowJones,2019-04-24,26597.05
DowJones,2019-04-25,26462.08
DowJones,2019-04-26,26543.33
DowJones,2019-04-29,26554.39
DowJones,2019-04-30,26592.91
DowJones,2019-05-01,26430.14
DowJones,2019-05-02,26307.79
DowJones,2019-05-03,26504.95
DowJones,2019-05-06,26438.48
DowJones,2019-05-07,25965.09
DowJones,2019-05-08,25967.33
DowJones,2019-05-09,25828.36
DowJones,2019-05-10,25942.37
DowJones,2019-05-13,25324.99
DowJones,2019-05-14,25532.05
DowJones,2019-05-15,25648.02
DowJones,2019-05-16,25862.68
DowJones,2019-05-17,25764.0
DowJones,2019-05-20,25679.9
DowJones,2019-05-21,25877.33
DowJones,2019-05-22,25776.61
DowJones,2019-05-23,25490.47
DowJones,2019-05-24,25585.69
DowJones,2019-05-28,25347.77
DowJones,2019-05-29,25126.41
DowJones,2019-05-30,25169.88
DowJones,2019-05-31,24815.04
DowJones,2019-06-03,24819.78
DowJones,2019-06-04,25332.18
DowJones,2019-06-05,25539.57
DowJones,2019-06-06,25720.66
DowJones,2019-06-07,25983.94
DowJones,2019-06-10,26062.68
DowJones,2019-06-11,26048.51
DowJones,2019-06-12,26004.83
DowJones,2019-06-13,26106.77
DowJones,2019-06-14,26089.61
DowJones,2019-06-17,26112.53
DowJones,2019-06-18,26465.54
DowJones,2019-06-19,26504.0
DowJones,2019-06-20,26753.17
DowJones,2019-06-21,26719.13
DowJones,2019-06-24,26727.54
DowJones,2019-06-25,26548.22
