Numero_site_VDP;Nom;Adresse_Postale;Code_postal;Ville;xy
PARIS_WI-FI_0103;Centre d'Animation Les Halles Le Marais;6 Place Carree;75001;Paris;48.862246, 2.345228
PARIS_WI-FI_0106;Maison des Associations du 1er;5 bis rue du Louvre;75001;Paris;48.862001, 2.341214
PARIS_WI-FI_0108;Médiathèque de la Canopée la fontaine;10 passage de la Canopée;75001;Paris;48.86224, 2.346822
PARIS_WI-FI_0110;Berge de Seine Rive Droite Pont au Change (Sortie Châtelet);Berge de Seine Rive Droite Pont au Change (Sortie Châtelet);75001;Paris;48.8576, 2.346755
PARIS_WI-FI_0303;Maison des Associations Du 03eme;2 Rue Eugene Spuller;75003;Paris;48.863988, 2.361527
PARIS_WI-FI_0304;Maison Initiatives Etudiantes;50 Rue Des Tournelles;75003;Paris;48.856214, 2.367392
PARIS_WI-FI_0307;Square Georges Cain;14 Rue Payenne;75003;Paris;48.85836, 2.362635
PARIS_WI-FI_0401;Atelier de Restauration Photographique;10 Rue De Fourcy;75004;Paris;48.854912, 2.35929
PARIS_WI-FI_0402;Bibliothèque Administrative De La Ville De Paris;5 Rue De Lobau;75004;Paris;48.856745, 2.353348
PARIS_WI-FI_0403;Bibliothèque Forney;1 Rue Du Figuier;75004;Paris;48.853427, 2.359179
PARIS_WI-FI_0404;Bibliothèque Historique De La Ville De Paris;24 Rue Pavee;75004;Paris;48.857105, 2.361719
PARIS_WI-FI_0410;Hotel de Ville 3 (2e etage);4 Place De L'Hotel De Ville;75004;Paris;48.85683, 2.351176
PARIS_WI-FI_0418;Parvis De L'Hotel De Ville (Rivoli);4 Place De L'Hotel De Ville;75004;Paris;48.85683, 2.351176
PARIS_WI-FI_0420;Square de l'hotel de ville;Passerelle face à la rue Lobau entre la Seine et la voie express Georges Pompidou;75004;Paris;48.856266, 2.35334
PARIS_WI-FI_0425;Maison des Acteurs du Paris durable;Maison des Acteurs du Paris durable;75007;Paris;48.850333, 2.30671
PARIS_WI-FI_0513;Square Saint Medard;32 Rue Censier;75005;Paris;48.840394, 2.353601
PARIS_WI-FI_0514;Square Scipion;8 Rue Scipion;75005;Paris;48.838402, 2.353773
PARIS_WI-FI_0604;Square Felix Desruelles;168 Bis, Boulevard Saint Germain;75006;Paris;48.853718, 2.334242
PARIS_WI-FI_0703;Esplanade Des Invalides;1 Rue Paul;75007;Paris;48.8622, 2.311893
PARIS_WI-FI_0704;Jardin Catherine Laboure;33 Rue De Babylone;75007;Paris;48.851624, 2.319866
PARIS_WI-FI_0705;Mairie du 7E Arrondissement;116 Rue De Grenelle;75007;Paris;48.856871, 2.320027
PARIS_WI-FI_0707;Parc Champs De Mars;Avenue Charles Risler;75007;Paris;48.855022, 2.30088
PARIS_WI-FI_0710;Berges de Seine Rive Gauche – Gros Caillou;Port du Gros Caillou;75007;Paris;48.857107, 2.302746
PARIS_WI-FI_0711;Berges de Seine Rive Gauche - Port de Solferino;Port de Solferino;75007;Paris;48.862026, 2.322079
PARIS_WI-FI_0812;Square Louis Xvi;Rue Pasquier;75008;Paris;48.873004, 2.32351
PARIS_WI-FI_0813;Square Marcel Pagnol;Place Henri Bergson;75008;Paris;48.876171, 2.32059
PARIS_WI-FI_0901;Annexe Maison des Associations Du 09eme;35 Rue Victor Masse;75009;Paris;48.880941, 2.337009
PARIS_WI-FI_0907;Square D'Anvers;Place D'Anvers;75009;Paris;48.882213, 2.344754
PARIS_WI-FI_1011;Square Amadou Hampate Ba;17 Rue Boy Zelenski;75010;Paris;48.877434, 2.368388
PARIS_WI-FI_1109;Maison des Associations Du 11eme;8 Rue Du General Renault;75011;Paris;48.861264, 2.378496
PARIS_WI-FI_1117;Square Orillon Jules Vernes;19 Bis, Rue De L'Orillon;75011;Paris;48.869915, 2.375217
PARIS_WI-FI_1201;Activites artisanales et creation;30 Rue du Faubourg Saint Antoine;75012;Paris;48.852409, 2.371634
PARIS_WI-FI_1206;Bibliothèque Saint Eloi;23 Rue Du Colonel Rozanoff;75012;Paris;48.845694, 2.38716
