Id.1,Name,Site.1,Site.Clean,Id
1,ACTIVITES ARTISANALES ET CREATION,Activites artisanales et creation,Activites artisanales et creation,PARIS_WI-FI_1201
2,ALLEE VIVALDI,Allee Vivaldi,Allee Vivaldi,PARIS_WI-FI_1202
3,ANNEXE MAISON DES ASSOCIATIONS DU 09EME,Annexe Maison des Associations Du 09eme,Annexe Maison des Associations du 09eme,PARIS_WI-FI_0901
4,ANTENNE JEUNE DAVOUT,Antenne Jeune Davout,Antenne Jeune Davout,PARIS_WI-FI_2001
5,ANTENNE JEUNE ORILLON,Antenne Jeune Orillon,Antenne Jeune Orillon,PARIS_WI-FI_1101
6,ARCHIVES DE PARIS,Archives de Paris,Archives de Paris,PARIS_WI-FI_1901
7,ATELIER DE RESTAURATION PHOTOGRAPHIQUE,Atelier de Restauration Photographique,Atelier de Restauration Photographique,PARIS_WI-FI_0401
8,BERGES DE SEINE RIVE GAUCHE - GROS CAILLLOU,Berges de Seine Rive Gauche - Gros Cailllou,Berges de Seine Rive Gauche - Gros Caillou,PARIS_WI-FI_0710
9,BERGES DE SEINE RIVE GAUCHE - GROS CAILLOU,Berges de Seine Rive Gauche - Gros Caillou,Berges de Seine Rive Gauche - Gros Caillou,PARIS_WI-FI_0710
10,BERGES DE SEINE RIVE GAUCHE - PORT DE SOLFERINO,Berges de Seine Rive Gauche - Port de Solferino,Berges de Seine Rive Gauche - Port de Solferino,PARIS_WI-FI_0711
11,BERGES DE SEINE RIVE GAUCHE - SOLFERINO,Berges de Seine Rive Gauche - Solferino,Berges de Seine Rive Gauche - Solferino,PARIS_WI-FI_0709
12,BERGES DE SEINE RIVE GAUCHE- GROS CAILLOU,Berges de Seine Rive Gauche- Gros Caillou,Berges de Seine Rive Gauche - Gros Caillou,PARIS_WI-FI_0710
13,BIBLIOTHÈQUE ADMINISTRATIVE DE LA VILLE DE,Bibliothèque Administrative De La Ville De,Bibliothèque Administrative de la Ville de Paris,PARIS_WI-FI_0402
14,BIBLIOTHÈQUE AMELIE,Bibliothèque Amelie,Bibliothèque Amelie,PARIS_WI-FI_0701
15,BIBLIOTHÈQUE ANDRE MALRAUX,Bibliothèque Andre Malraux,Bibliothèque Andre Malraux,PARIS_WI-FI_0601
16,BIBLIOTHÈQUE BATIGNOLLES,Bibliothèque Batignolles,Bibliothèque Batignolles,PARIS_WI-FI_1701
17,BIBLIOTHÈQUE BEAUGRENELLE,Bibliothèque Beaugrenelle,Bibliothèque Beaugrenelle,PARIS_WI-FI_1501
